scenario,task,seed,method,absolute_residual
ate_linear,static_ate,70000000,Pretrained soft router,0.3078954912643035
ate_linear,static_ate,70000000,Pretrained hard top-1,0.29178721409129005
ate_linear,static_ate,70000000,Temperature-scaled router,0.32414562202335545
ate_linear,static_ate,70000000,Uniform expert mean,0.29089976053522926
ate_linear,static_ate,70000000,Median expert,0.30709851484583717
ate_linear,static_ate,70000000,Best fixed expert,0.3630485008268247
ate_linear,static_ate,70000000,Metadata-only selector,0.3630485008268247
ate_linear,static_ate,70000000,Shallow risk selector,0.29178721409129005
ate_linear,static_ate,70000000,Convex stack,0.3318795699423397
ate_linear,static_ate,70000000,Expert: linear,0.29178721409129005
ate_linear,static_ate,70000000,Expert: orthogonal,0.1231934497861753
ate_linear,static_ate,70000000,Expert: spline,0.36937112312601905
ate_linear,static_ate,70000000,Expert: interaction,0.3630485008268247
ate_linear,static_ate,70000000,Expert: piecewise,0.30709851484583717
ate_linear,static_ate,70000000,Linear g-computation,0.291772608175503
ate_linear,static_ate,70000000,Random forest g-computation,0.573484708614858
ate_linear,static_ate,70000000,Spline g-computation,0.36937112312601905
ate_linear,static_ate,70000000,Interaction g-computation,0.3630485008268247
ate_linear,static_ate,70000000,AIPW,0.1231934497861753
ate_linear,static_ate,70000000,DR learner (spline nuisances),0.20557138648046808
ate_linear,static_ate,70000001,Pretrained soft router,0.21547455925265852
ate_linear,static_ate,70000001,Pretrained hard top-1,0.12909852643696257
ate_linear,static_ate,70000001,Temperature-scaled router,0.18900087774551538
ate_linear,static_ate,70000001,Uniform expert mean,0.22704912205425692
ate_linear,static_ate,70000001,Median expert,0.24937655707088896
ate_linear,static_ate,70000001,Best fixed expert,0.18611024995533415
ate_linear,static_ate,70000001,Metadata-only selector,0.18611024995533415
ate_linear,static_ate,70000001,Shallow risk selector,0.12909852643696257
ate_linear,static_ate,70000001,Convex stack,0.1801419113429124
ate_linear,static_ate,70000001,Expert: linear,0.12909852643696257
ate_linear,static_ate,70000001,Expert: orthogonal,0.27923341770855375
ate_linear,static_ate,70000001,Expert: spline,0.24937655707088896
ate_linear,static_ate,70000001,Expert: interaction,0.18611024995533415
ate_linear,static_ate,70000001,Expert: piecewise,0.29142685909954497
ate_linear,static_ate,70000001,Linear g-computation,0.1291161336574212
ate_linear,static_ate,70000001,Random forest g-computation,0.24519645731870288
ate_linear,static_ate,70000001,Spline g-computation,0.24937655707088896
ate_linear,static_ate,70000001,Interaction g-computation,0.18611027975765654
ate_linear,static_ate,70000001,AIPW,0.27923341770855375
ate_linear,static_ate,70000001,DR learner (spline nuisances),0.3840037821924252
ate_linear,static_ate,70000002,Pretrained soft router,0.04802249579007001
ate_linear,static_ate,70000002,Pretrained hard top-1,0.00041203789976529404
ate_linear,static_ate,70000002,Temperature-scaled router,0.010550367896653534
ate_linear,static_ate,70000002,Uniform expert mean,0.131162032416138
ate_linear,static_ate,70000002,Median expert,0.00041203789976529404
