family,n,severity,episodes,population_adequate,refusal_rate,refusal_ci_low,refusal_ci_high,false_refusal_rate,false_acceptance_rate,screen_refusal_rate,arm_refusal_rate,mean_fitted_tail,population_tail
linear_logistic,32,0.0,500,True,0.134,0.10691500187152081,0.16666601534633546,0.134,,0.124,0.024,0.0415625,0.0
linear_logistic,32,0.5,500,True,0.262,0.22537626941723765,0.30225291664246134,0.262,,0.258,0.008,0.065,3.888264382370055e-09
linear_logistic,32,1.0,500,True,0.528,0.48419577166421596,0.5713772652699372,0.528,,0.526,0.026,0.1135625,0.003235407394949801
linear_logistic,32,2.0,500,False,0.888,0.8573463119959378,0.9127371998058978,,0.11199999999999999,0.888,0.024,0.1950625,0.14096161607465904
linear_logistic,32,4.0,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.022,0.27275,0.4616639128324067
linear_logistic,32,8.0,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.014,0.2983125,0.7128323191808354
linear_logistic,64,0.0,500,True,0.008,0.00311531518006224,0.020387035834105168,0.008,,0.008,0.0,0.00809375,0.0
linear_logistic,64,0.5,500,True,0.032,0.019791513626571118,0.051344869045441784,0.032,,0.032,0.0,0.0216875,3.888264382370055e-09
linear_logistic,64,1.0,500,True,0.26,0.22348572318538285,0.3001739602361623,0.26,,0.26,0.0,0.0676875,0.003235407394949801
linear_logistic,64,2.0,500,False,0.922,0.8951464501266115,0.9424186065238385,,0.07799999999999996,0.922,0.0,0.16896875,0.14096161607465904
linear_logistic,64,4.0,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.0,0.24265625,0.4616639128324067
linear_logistic,64,8.0,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.0,0.2714375,0.7128323191808354
linear_logistic,128,0.0,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.000609375,0.0
linear_logistic,128,0.5,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.008359375,3.888264382370055e-09
linear_logistic,128,1.0,500,True,0.106,0.08195705027297034,0.13605093001073285,0.106,,0.106,0.0,0.05159375,0.003235407394949801
linear_logistic,128,2.0,500,False,0.934,0.9087605988391466,0.9526214736402262,,0.06599999999999995,0.934,0.0,0.15484375,0.14096161607465904
linear_logistic,128,4.0,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.0,0.22909375,0.4616639128324067
linear_logistic,128,8.0,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.0,0.257890625,0.7128323191808354
linear_logistic,256,0.0,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,3.125e-05,0.0
linear_logistic,256,0.5,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.00309375,3.888264382370055e-09
linear_logistic,256,1.0,500,True,0.016,0.008129253033388314,0.03125110853339426,0.016,,0.016,0.0,0.0386953125,0.003235407394949801
linear_logistic,256,2.0,500,False,0.964,0.9438156730319722,0.9771089390197072,,0.03600000000000003,0.964,0.0,0.144546875,0.14096161607465904
linear_logistic,256,4.0,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.0,0.222609375,0.4616639128324067
linear_logistic,256,8.0,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.0,0.254046875,0.7128323191808354
linear_logistic,512,0.0,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.0,0.0
linear_logistic,512,0.5,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.001015625,3.888264382370055e-09
linear_logistic,512,1.0,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.03466796875,0.003235407394949801
linear_logistic,512,2.0,500,False,0.984,0.9687488914666058,0.9918707469666117,,0.016000000000000014,0.984,0.0,0.141171875,0.14096161607465904
linear_logistic,512,4.0,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.0,0.2196875,0.4616639128324067
linear_logistic,512,8.0,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.0,0.25119921875,0.7128323191808354
network_ring,32,0.02,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,1.0,,
network_ring,32,0.1,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,1.0,,
network_ring,32,0.3,500,True,0.998,0.9887592932948532,0.9996468636054407,0.998,,0.998,0.486,,
network_ring,32,0.5,500,True,0.976,0.9585229425360993,0.986218685344503,0.976,,0.976,0.018,,
network_ring,64,0.02,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,1.0,,
network_ring,64,0.1,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.93,,
network_ring,64,0.3,500,True,0.956,0.9342805571276716,0.9707660443713928,0.956,,0.956,0.0,,
network_ring,64,0.5,500,True,0.198,0.1654311225691935,0.2351739790695841,0.198,,0.198,0.0,,
network_ring,128,0.02,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,1.0,,
network_ring,128,0.1,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.168,,
network_ring,128,0.3,500,True,0.632,0.588871722496907,0.6731154516212433,0.632,,0.632,0.0,,
network_ring,128,0.5,500,True,0.006,0.0020425962719602363,0.01749025210405338,0.006,,0.006,0.0,,
network_ring,256,0.02,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.964,,
network_ring,256,0.1,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.0,,
network_ring,256,0.3,500,True,0.446,0.4030063915853302,0.4898170371845176,0.446,,0.446,0.0,,
network_ring,256,0.5,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,,
network_ring,512,0.02,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.404,,
network_ring,512,0.1,500,False,1.0,0.9923756595384479,1.0,,0.0,1.0,0.0,,
network_ring,512,0.3,500,True,0.246,0.2102809916856707,0.2855921732687978,0.246,,0.246,0.0,,
network_ring,512,0.5,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,,
quadratic_logistic,32,0.0,500,True,0.152,0.12319239267380164,0.18611414828743875,0.152,,0.142,0.024,0.0411875,0.0
quadratic_logistic,32,0.5,500,True,0.132,0.10511672384831994,0.1644947907313825,0.132,,0.124,0.02,0.040125,0.008673369410718921
quadratic_logistic,32,1.0,500,True,0.174,0.14328947208106416,0.20968159789986787,0.174,,0.158,0.038,0.04875,0.0470265319459346
quadratic_logistic,32,2.0,500,False,0.214,0.18030299998759533,0.2520581227564126,,0.786,0.178,0.088,0.054625,0.11587419672925033
quadratic_logistic,32,4.0,500,False,0.478,0.43455096039387586,0.5217845105864325,,0.522,0.346,0.32,0.08225,0.5801724975828795
quadratic_logistic,32,8.0,500,False,0.56,0.5161968735863127,0.6028882055583011,,0.43999999999999995,0.414,0.39,0.0980625,0.815503640038798
quadratic_logistic,64,0.0,500,True,0.004,0.0010976305226827934,0.014465715215177033,0.004,,0.004,0.0,0.0065,0.0
quadratic_logistic,64,0.5,500,True,0.002,0.00035313639455927456,0.011240706705146758,0.002,,0.002,0.0,0.0058125,0.008673369410718921
quadratic_logistic,64,1.0,500,True,0.01,0.004278753896590496,0.023193099755730702,0.01,,0.01,0.0,0.00734375,0.0470265319459346
quadratic_logistic,64,2.0,500,False,0.02,0.010899183596210813,0.036420183246879345,,0.98,0.02,0.0,0.0140625,0.11587419672925033
quadratic_logistic,64,4.0,500,False,0.07,0.0507597429450181,0.09579718985191686,,0.9299999999999999,0.07,0.0,0.02309375,0.5801724975828795
quadratic_logistic,64,8.0,500,False,0.094,0.0714264085922213,0.12276455586255913,,0.906,0.094,0.0,0.0298125,0.815503640038798
quadratic_logistic,128,0.0,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.000625,0.0
quadratic_logistic,128,0.5,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.000375,0.008673369410718921
quadratic_logistic,128,1.0,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.000796875,0.0470265319459346
quadratic_logistic,128,2.0,500,False,0.0,4.336808689942018e-19,0.007624340461552241,,1.0,0.0,0.0,0.00196875,0.11587419672925033
quadratic_logistic,128,4.0,500,False,0.0,4.336808689942018e-19,0.007624340461552241,,1.0,0.0,0.0,0.005515625,0.5801724975828795
quadratic_logistic,128,8.0,500,False,0.012,0.005510995174027703,0.025930361116447292,,0.988,0.012,0.0,0.007484375,0.815503640038798
quadratic_logistic,256,0.0,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.0,0.0
quadratic_logistic,256,0.5,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,7.8125e-06,0.008673369410718921
quadratic_logistic,256,1.0,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,2.34375e-05,0.0470265319459346
quadratic_logistic,256,2.0,500,False,0.0,4.336808689942018e-19,0.007624340461552241,,1.0,0.0,0.0,3.90625e-05,0.11587419672925033
quadratic_logistic,256,4.0,500,False,0.0,4.336808689942018e-19,0.007624340461552241,,1.0,0.0,0.0,0.0004375,0.5801724975828795
quadratic_logistic,256,8.0,500,False,0.0,4.336808689942018e-19,0.007624340461552241,,1.0,0.0,0.0,0.000640625,0.815503640038798
quadratic_logistic,512,0.0,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.0,0.0
quadratic_logistic,512,0.5,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.0,0.008673369410718921
quadratic_logistic,512,1.0,500,True,0.0,4.336808689942018e-19,0.007624340461552241,0.0,,0.0,0.0,0.0,0.0470265319459346
quadratic_logistic,512,2.0,500,False,0.0,4.336808689942018e-19,0.007624340461552241,,1.0,0.0,0.0,0.0,0.11587419672925033
quadratic_logistic,512,4.0,500,False,0.0,4.336808689942018e-19,0.007624340461552241,,1.0,0.0,0.0,1.5625e-05,0.5801724975828795
quadratic_logistic,512,8.0,500,False,0.0,4.336808689942018e-19,0.007624340461552241,,1.0,0.0,0.0,4.6875e-05,0.815503640038798
