method,scenario,seed,status,split_detected,n_true_splits,n_detected_splits,selected_root_feature,root_feature_exact_hit,root_feature_proxy_family_hit,permutation_p,feature_precision,feature_recall,feature_f1,feature_fdr,split_count_absolute_error,threshold_mae_iqr,regime_ari,regime_nmi,regime_row_accuracy,minimum_leaf_fraction,relative_parameter_error,intercept_error,joint_test_loss_pooled,joint_test_loss_partitioned,joint_test_loss_predictive_tree,joint_test_loss_oracle,delta_loss_pooled,oracle_improvement_recovered,rmse,runtime_seconds,bootstrap_support_jaccard,bootstrap_threshold_median,bootstrap_threshold_q05,bootstrap_threshold_q95,bootstrap_leaf_count_mode,bootstrap_root_frequency_X1,bootstrap_root_frequency_X2,bootstrap_root_frequency_X3,bootstrap_root_frequency_X4,bootstrap_root_frequency_X5,bootstrap_root_frequency_X6,bootstrap_root_frequency_X7,bootstrap_root_frequency_X8,bootstrap_root_frequency_X9,bootstrap_root_frequency_X10,bootstrap_root_frequency_X11,bootstrap_root_frequency_X12,bootstrap_root_frequency_X13,bootstrap_root_frequency_X14,bootstrap_root_frequency_X15,bootstrap_root_frequency_X16,bootstrap_root_frequency_X17,bootstrap_root_frequency_X18,bootstrap_root_frequency_X19,bootstrap_root_frequency_X20
causal_model_determination,null,0,ok,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.07000666078724453,0.025248159129720588,0.472741021869201,0.47274102098375587,0.7361727428692788,0.472741021869201,8.854451061246493e-10,,0.6675154820749867,1.442250301988679,0.1,-0.6587948554396033,-0.8073620110984061,0.6721927896802085,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
causal_model_determination,null,1,ok,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.06642527962915501,0.03285071033007234,0.3930974681051385,0.39309746770779747,0.6878781404437326,0.3930974681051385,3.9734104895217115e-10,,0.6110110181081851,1.2059214679902652,0.6,0.405519473255431,0.405519473255431,0.405519473255431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,null,2,ok,0.0,0.0,0.0,-1.0,0.0,0.0,0.8,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.06951785734856512,0.027273998105300228,0.2677309686221265,0.26773096847638184,0.49534380890651986,0.2677309686221265,1.457446385799699e-10,,0.49837928053589803,1.2823045369877946,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,null,3,ok,0.0,0.0,0.0,-1.0,0.0,0.0,0.65,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.09293351751873571,0.04831995165686579,0.24448197585134768,0.2444819752799491,0.5503259198882365,0.24448197585134768,5.713985673505562e-10,,0.5111503960664496,1.8034231019992149,0.32,-0.8522018934420051,-1.0518064931053375,-0.6525972937786728,1.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,null,4,ok,0.0,0.0,0.0,-1.0,0.0,0.0,0.65,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.08357240892370338,0.07869963802093309,0.3519421261247157,0.3519421249688452,0.6761072980725581,0.3519421261247157,1.1558705104164346e-09,,0.5763311243036915,1.7464791579986922,0.3,-0.38066131675714293,-0.9294543019308636,0.1681316684165778,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,clean_one_split,0,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.020555857074077557,0.9214879672716482,0.8780410502799977,0.98,0.4642857142857143,0.1539604019634612,0.05552283321047797,0.554596200067878,0.48078024153919857,0.7676797613851912,0.4809070015417302,0.07381595852867945,1.0017201978725099,0.6765839954052143,4.452288672997383,0.6333333333333333,0.01952155544082618,-0.0285449014113685,0.04599572080701586,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,clean_one_split,1,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.021612178261526217,0.9772409141470718,0.9548900192035227,0.9942857142857143,0.5,0.09962713712586765,0.04866240440060288,0.3880241111439,0.346749509932029,0.7150478445613014,0.34566103557501676,0.04127460121187099,0.9743060591707423,0.5864244925861108,3.5618292239960283,0.8,0.08824963973797197,0.07787459564485018,0.1138614539626442,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,clean_one_split,2,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.0013233075384495318,1.0,1.0,1.0,0.4714285714285714,0.0822091549040561,0.04881555808841272,0.2929498945113922,0.2466700305377194,0.5198650034728423,0.24656197316619122,0.046279863973672786,0.9976705709504836,0.4878766229699832,2.436502644995926,0.8,-0.012865694162471884,-0.023996759277007874,0.02024573171987597,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,clean_one_split,3,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.021386409459606896,0.9435928261420945,0.9060939722944148,0.9857142857142858,0.49857142857142855,0.09028549424379755,0.050385845675827594,0.2372663619751323,0.21192565198365856,0.541326102058699,0.21263911153391368,0.025340709991473725,1.0289703291058836,0.4781040408115447,5.557089219000773,0.45,0.09313504451666438,0.04650892424259325,0.12495417152017387,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,clean_one_split,4,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.05117199256584283,0.8942248000887767,0.8465395706065985,0.9728571428571429,0.46714285714285714,0.07436380412436644,0.06857882974684638,0.2983581011940299,0.26130771672981223,0.6620004644213963,0.25942319978793543,0.037050384464217656,0.9515982608451702,0.5120666687662293,6.277142612001626,0.6333333333333333,0.03593319789856263,-0.04170264422620291,0.053266564871168355,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,weak_change,0,ok,0.0,1.0,0.0,-1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5157142857142857,1.0,0.1426933751776896,0.023337009860483957,0.48948913344432743,0.4894891325053086,0.750571280402648,0.4891106303405224,9.390188071556338e-10,2.4808747873287716e-06,0.6785618460258508,4.9362154670088785,0.1,-0.6587948554396033,-0.8073620110984061,0.6721927896802085,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
causal_model_determination,weak_change,1,ok,0.0,1.0,0.0,-1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5057142857142857,1.0,0.09010953791876149,0.0555113272348412,0.38719576432799707,0.3871957640860518,0.6980078927641712,0.3874288987449572,2.41945297130286e-10,-1.0377931336139555e-06,0.6113481044426318,3.915464798003086,0.6,0.405519473255431,0.405519473255431,0.405519473255431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
